address,chain,label,source,fetched_at,evidence,confidence,dwell_median_min,fan_out_1h,fan_in_unique,passthrough_ratio,age_at_taint_days,activator_label,trx_dust_usdt,round_amount_ratio,burst_tx_per_hour,hops_from_victim,hops_to_vasp,sanction_exposure,external_flags,shared_mule_cps,cross_case_count
TA39q3p75XRSWYAEaSF7dANtyksoa3sLge,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""713fe39c5d578c1db8a754ce9d30e43ec41fabe19e02a833f943657df08a74e5"",""blockNumber"":77210376,""blockTimestampMs"":1762292286000}]}",0.9,98593.05,0,1,1,,TEPSrSYPDSQ7yXpMFPq91Fb1QEWpMkRGfn,false,0.818,7,,,,"[""high_risk""]",0,0
TA3eBKTHFA76mpjag1vik77hjL1TtrquW5,TRON,licit,tron_negative_sampling,2026-09-23T05:07:32.488Z,"{""activity_evidence"":{""txCount"":359,""lastActiveAt"":1777929402000,""createdAt"":1761709479000},""usdt_holder_evidence"":{""usdtTxCount"":359,""observedAt"":1777929402000,""sampleAmount"":""39.863974""}}",1,3105.8,2,1,0.992,,TUT3T4AzDiz8W6so2PQPQ1KPbBCRDWQqmS,false,0.51,5,,,,[],0,0
TA3gtSZUbixAKGe9zWLXnJyu1NCxBQqrFv,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""54df6a8b59caba7ddf35a269fcca9321f08df4694d401d2e6efe1af11386721b"",""blockNumber"":84138864,""blockTimestampMs"":1783086408000}]}",0.9,247.25,2,1,0.975,0.832,TNsayoRELTYSL1qqV9ZRedrjeZVoWt78uP,false,0.429,9,,,,"[""high_risk""]",0,0
TA3i7KHc6NtAVrjTHgfzvFXv76FYY3DYLL,TRON,licit,tron_negative_sampling,2026-09-23T05:07:32.488Z,"{""activity_evidence"":{""txCount"":400,""lastActiveAt"":1789289196000,""createdAt"":1741430460000},""usdt_holder_evidence"":{""usdtTxCount"":400,""observedAt"":1789289196000,""sampleAmount"":""90""}}",1,35.15,4,1,2.805,520.083,TPEtBCS9Duia3gSxsm8hkQJC69aaMHgjQK,false,0.723,7,,,,[],0,0
TA3kSSGrWsVtVkniFucnGRegMvY2E6LGx7,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""5ec18469595092b2fd5bc26b8795bf2f80a346524e72842fa0408c4aaa006057"",""blockNumber"":78986844,""blockTimestampMs"":1767623553000}]}",0.9,,0,1,0,,,false,0,2,,,,"[""high_risk""]",0,0
TA3qLUGJRHZQR2fmwdLYuPudvu6URY51Cu,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""1ffd4153bc7551a8132827b2b1898eb4ae4ea62bf5a12a16fe01e8a198953bea"",""blockNumber"":73882813,""blockTimestampMs"":1752306705000}]}",0.9,,0,0,,,,false,0,0,,,,"[""high_risk""]",0,0
TA3rH2A7iHnm6pKH8gr9cK1EZnShnmZdFg,TRON,high_risk,ofac+usdt_blacklist,2026-09-23T05:07:32.488Z,"[{""source"":""usdt_blacklist"",""evidence"":{""eventCount"":1,""events"":[{""txHash"":""7402e081ebb59b03d24d28f9c84afd1f98171ebc2705fd55106933514a3867f1"",""blockNumber"":84074392,""blockTimestampMs"":1782892932000}]},""confidence"":0.9},{""source"":""ofac"",""evidence"":{""list"":""OFAC SDN digital-currency addresses"",""file"":""sanctioned_addresses_TRX.txt"",""repo"":""github.com/0xB10C/ofac-sanctioned-digital-currency-addresses""},""confidence"":1}]",1,,0,1,0,,,false,0,1,,,,"[""high_risk""]",0,0
TA3tgBGWPLoScAoSNW5APiU6HMCi4SXYaP,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""c5dffa99c73164865a12c6575236470df43e5d691c22dc2545eadfa4ed4807ef"",""blockNumber"":85184363,""blockTimestampMs"":1786224045000}]}",0.9,,2,1,1.796,416.276,TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R,false,0.308,5,,,,"[""high_risk""]",0,0
TA44fn3gudHcm5Gc1USCPBFtasZVJYxUta,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""2529e3e1498ec71a5bc6d2972f4ecd8ec28af9c2a9c507506991f8525b7c98df"",""blockNumber"":80941726,""blockTimestampMs"":1773492099000}]}",0.9,8545.375,1,1,0.876,0.002,TRjyn126qCTLYRo9JbGH1JxcFbKnZkA887,false,0.647,8,,,,"[""high_risk""]",0,0
TA5AeggA8oZdahEDLQbxCWbo8U2rZbNUSy,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""ab73a4fade432c6e16f5fe57f7e4234686c09d3cb2609e0f48ec37687990e195"",""blockNumber"":81292112,""blockTimestampMs"":1774543557000}]}",0.9,110744.9,1,1,0.37,,,false,0.323,4,,,,[],0,0
TA5bncURq5sJmtdprsLXe8yr2C9q3HMS6A,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""690526b9fb160e6b89ad979154bbf8d5aeb0a034a55585f9f1eee7130efade64"",""blockNumber"":81180610,""blockTimestampMs"":1774208952000}]}",0.9,42897.425,3,1,0.429,147.274,TFBEs9BvSLqxJy4m52hoQoBpMnQx599999,false,0.548,6,,,,"[""high_risk""]",0,0
TA5hrVymvwgXXRfp9miQKDZKJ11fWdk1fT,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""b07443fd4e315dba23257a504c324d2b291c88135fb1ef2e4a72de0320df6337"",""blockNumber"":83331409,""blockTimestampMs"":1780663329000}]}",0.9,2173.5,2,1,1,,TJFLzP8RXomqyuuesw8swQzdhQNBdXyjQx,false,0.52,9,,,,"[""high_risk""]",0,0
TA5sJibqnAXWMG9JDtSVYE95NFHWNjEsyS,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""d7c240f24ea2fb47a9836d738293250c85689c93254a4aeed4805ccae3bc6968"",""blockNumber"":81292220,""blockTimestampMs"":1774543881000}]}",0.9,38374,2,1,0.078,533.011,TEw4SWsU9vuwD3anMtWJdfoG4pLX1ZbYVW,false,0.278,3,,,,[],0,0
TA5xpK6poVZz22yTcCjWxKzheTxgxeji7D,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""95b527fb5a41793d7166cda82034bfae65faac7a7296a5519c7cb307f3127e95"",""blockNumber"":73882481,""blockTimestampMs"":1752305709000}]}",0.9,,0,0,,,,false,0,0,,,,"[""high_risk""]",0,0
TA5zZ7vaHuik3EYgCXrVuAnRY6V3t166Zz,TRON,licit,tron_negative_sampling,2026-09-23T05:07:32.488Z,"{""activity_evidence"":{""txCount"":231,""lastActiveAt"":1777643844000,""createdAt"":1760422566000},""usdt_holder_evidence"":{""usdtTxCount"":231,""observedAt"":1777643844000,""sampleAmount"":""5052.54""}}",1,91577.35,0,1,1.178,17.403,TC58GZPgEzWRkjn5u2BMtP1CqyTJrULmvP,false,0.173,2,,,,[],0,0
TA66398BCoMgq5S87xSoCvGY2P6rL7NAW6,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""e6de9e5a448133d4d24a37b25935b47026703d6058732ee41a3a00b7cad97410"",""blockNumber"":84656714,""blockTimestampMs"":1784640588000}]}",0.9,5151.4,0,1,0.997,,TFg8HhYeU4JvPiCPo2gY2ATkYMJ6qk1wy3,false,0.692,9,,,,"[""high_risk""]",0,0
TA6C3DFozR1j9PXVYo4LAkMw1BWuKfctxs,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""ce3f509c5e72187f2570020a1d45f77599812c5862b6edbf96662bcbc831a9f6"",""blockNumber"":81494637,""blockTimestampMs"":1775151300000}]}",0.9,35990.1,6,1,0.411,1501.946,,false,0.638,8,,,,[],0,0
TA6pjktVyqfSTfgYdFSTKHkXsBquxLesCC,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""1196052618e66f942a9bc4ad913a71cd1aac5a452a805ea289b9e4ef6e28878e"",""blockNumber"":81637441,""blockTimestampMs"":1775579838000}]}",0.9,14.25,3,1,0.681,,TUSYcK5yf8Et4xNTiUcpfZwmhFsxfdoooo,false,0.167,5,,,,"[""high_risk""]",0,0
TA7SH78vyXY8Bs95vqLSddNoZ9Y1tjsq2p,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""ff49dc7e679441c488bf40c89a8d49a92bdfab2594100d89061785f058ad2eae"",""blockNumber"":73882846,""blockTimestampMs"":1752306804000}]}",0.9,,0,0,,,,false,0,0,,,,"[""high_risk""]",0,0
